epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.7267986536026,0.6672458648681641,1.5260549783706665,0.6887915730476379
1,1.6851249933242798,0.6712424159049988,1.504554271697998,0.6918023824691772
2,1.6474124193191528,0.675412654876709,1.4864386320114136,0.6952237486839294
3,1.612395167350769,0.6809730529785156,1.4705930948257446,0.6980977058410645
4,1.5806523561477661,0.6847958564758301,1.4575598239898682,0.7013822197914124
5,1.550234317779541,0.6886186003684998,1.4465397596359253,0.7037087678909302
6,1.5217740535736084,0.6927888989448547,1.437152624130249,0.7046667337417603
7,1.4950495958328247,0.6960903406143188,1.4290335178375244,0.7049404382705688
8,1.469771146774292,0.6992180943489075,1.421427845954895,0.7053510546684265
9,1.4454618692398071,0.7023457884788513,1.415245771408081,0.7072669863700867
10,1.4224814176559448,0.7065160870552063,1.4102784395217896,0.7072669863700867
11,1.4004732370376587,0.710338830947876,1.4050592184066772,0.7072669863700867
12,1.37924325466156,0.7132927775382996,1.4008450508117676,0.7075406908988953
13,1.3588926792144775,0.7152041792869568,1.3969446420669556,0.707403838634491
14,1.3392199277877808,0.7178105711936951,1.3930437564849854,0.7068564295768738
15,1.3189737796783447,0.7197219729423523,1.3897491693496704,0.7071301341056824
16,1.3003255128860474,0.7221546769142151,1.3871322870254517,0.706035315990448
17,1.2822563648223877,0.7221546769142151,1.3829602003097534,0.7058984637260437
18,1.2638860940933228,0.7268462181091309,1.3801392316818237,0.7063090205192566
19,1.2465182542800903,0.7273675203323364,1.3772289752960205,0.707403838634491
20,1.229572057723999,0.7310165166854858,1.3743668794631958,0.7064458727836609
21,1.2123823165893555,0.73032146692276,1.3725916147232056,0.7057616114616394
22,1.1954524517059326,0.7331016659736633,1.3688075542449951,0.7057616114616394
23,1.1794708967208862,0.7358818650245667,1.3662164211273193,0.7067195773124695
24,1.1634914875030518,0.7357080578804016,1.3639965057373047,0.706035315990448
